Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name	Gene type
ENSG00000131269	X	75051554	75156732	-1	ABCB7	protein_coding
ENSG00000163794	2	27307400	27308445	-1	UCN	protein_coding
ENSG00000189037	X	44844004	44844888	1	DUSP21	protein_coding
ENSG00000183150	12	12660891	12696207	-1	GPR19	protein_coding
ENSG00000112742	6	80003887	80042527	1	TTK	protein_coding
ENSG00000178035	3	49024325	49029408	-1	IMPDH2	protein_coding
ENSG00000079999	19	10486120	10503741	-1	KEAP1	protein_coding
ENSG00000121903	1	33472645	33496507	1	ZSCAN20	protein_coding
ENSG00000132773	1	45339670	45343975	1	TOE1	protein_coding
ENSG00000129515	14	34561094	34630183	-1	SNX6	protein_coding
ENSG00000273661	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54754679	54769001	1	KIR2DL2	protein_coding
ENSG00000078725	9	119153458	119369467	-1	BRINP1	protein_coding
ENSG00000087116	5	179110851	179345430	-1	ADAMTS2	protein_coding
ENSG00000100714	14	64388031	64463457	1	MTHFD1	protein_coding
ENSG00000129518	14	34515929	34539711	-1	EAPP	protein_coding
ENSG00000166741	11	114257787	114313285	1	NNMT	protein_coding
ENSG00000217930	16	4331549	4355607	-1	PAM16	protein_coding
ENSG00000011376	3	45388506	45549421	1	LARS2	protein_coding
ENSG00000162817	1	220689845	220699157	1	C1orf115	protein_coding
ENSG00000229684	CHR_HSCHR6_MHC_MCF_CTG1	30798683	30803908	1	TUBB	protein_coding
ENSG00000162148	11	61481120	61490931	1	PPP1R32	protein_coding
ENSG00000011275	7	5620047	5781739	-1	RNF216	protein_coding
ENSG00000183574	CHR_HSCHR6_MHC_QBL_CTG1	32135962	32138401	1	RNF5	protein_coding
ENSG00000167985	11	61430042	61447529	1	SDHAF2	protein_coding
ENSG00000242616	9	111661335	111670246	1	GNG10	protein_coding
ENSG00000177243	8	7428888	7430348	-1	DEFB103B	protein_coding
ENSG00000171611	6	42915989	42925835	1	PTCRA	protein_coding
ENSG00000123353	12	55817919	55821879	1	ORMDL2	protein_coding
ENSG00000006740	17	12789539	12991643	1	ARHGAP44	protein_coding
ENSG00000106605	7	43758680	43807342	1	BLVRA	protein_coding
ENSG00000102043	X	64268081	64395431	-1	MTMR8	protein_coding
ENSG00000124659	6	42744481	42746096	-1	TBCC	protein_coding
ENSG00000105514	19	11322046	11346270	-1	RAB3D	protein_coding
ENSG00000272886	3	53283428	53347610	-1	DCP1A	protein_coding
ENSG00000182578	5	150053291	150113372	-1	CSF1R	protein_coding
ENSG00000162244	3	51993522	51995942	-1	RPL29	protein_coding
ENSG00000114805	3	155375580	155745067	-1	PLCH1	protein_coding
ENSG00000105255	19	4304600	4323843	1	FSD1	protein_coding
ENSG00000263956	1	148102046	148152322	-1	NBPF11	protein_coding
ENSG00000197948	5	141639302	141651419	-1	FCHSD1	protein_coding
ENSG00000130304	19	17468769	17506168	1	SLC27A1	protein_coding
ENSG00000158006	1	25959767	25998157	-1	PAFAH2	protein_coding
ENSG00000230961	CHR_HSCHR6_MHC_MANN_CTG1	31779445	31786880	1	MSH5	protein_coding
ENSG00000140009	14	64084232	64338112	-1	ESR2	protein_coding
ENSG00000213079	6	154733325	154834244	1	SCAF8	protein_coding
ENSG00000137815	15	41408408	41483563	1	RTF1	protein_coding
ENSG00000158516	7	130266827	130289798	1	CPA2	protein_coding
ENSG00000170122	9	116231	118204	-1	FOXD4	protein_coding
ENSG00000265107	1	147756199	147773362	-1	GJA5	protein_coding
ENSG00000166166	14	103529184	103537073	1	TRMT61A	protein_coding
ENSG00000277015	CHR_HSCHR18_ALT2_CTG2_1	78980275	79002677	1	SALL3	protein_coding
ENSG00000187189	6	116249961	116254140	-1	TSPYL4	protein_coding
ENSG00000123685	1	212686418	212699985	-1	BATF3	protein_coding
ENSG00000180043	19	55354908	55363260	-1	FAM71E2	protein_coding
ENSG00000112299	6	132681590	132714049	-1	VNN1	protein_coding
ENSG00000162772	1	212565334	212620777	1	ATF3	protein_coding
ENSG00000236632	CHR_HSCHR6_MHC_MANN_CTG1	30534109	30538847	1	HLA-E	protein_coding
ENSG00000241106	6	32812763	32820466	-1	HLA-DOB	protein_coding
ENSG00000050767	5	178237618	178590555	-1	COL23A1	protein_coding
ENSG00000117691	1	212432887	212446379	1	NENF	protein_coding
ENSG00000139352	12	102957686	102960516	1	ASCL1	protein_coding
ENSG00000110852	12	9852984	9870136	-1	CLEC2B	protein_coding
ENSG00000111816	6	115931149	116060758	-1	FRK	protein_coding
ENSG00000104825	19	38899700	38908893	1	NFKBIB	protein_coding
ENSG00000183840	2	132416574	132646559	1	GPR39	protein_coding
ENSG00000147475	8	37736601	37759101	1	ERLIN2	protein_coding
ENSG00000139211	12	47075707	47079951	-1	AMIGO2	protein_coding
ENSG00000163931	3	53224707	53256052	-1	TKT	protein_coding
ENSG00000278161	CHR_HSCHR19LRC_PGF1_CTG3_1	54107066	54115801	-1	TFPT	protein_coding
ENSG00000281766	CHR_HG126_PATCH	72378406	72447301	-1	RYBP	protein_coding
ENSG00000280951	CHR_HG2030_PATCH	133361597	133376314	-1	SURF4	protein_coding
ENSG00000129932	19	3490822	3500940	-1	DOHH	protein_coding
ENSG00000164442	6	139371807	139374620	-1	CITED2	protein_coding
ENSG00000077254	1	77695987	77759852	-1	USP33	protein_coding
ENSG00000275416	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54850500	54867258	1	KIR3DL2	protein_coding
ENSG00000153786	16	84974181	85011535	-1	ZDHHC7	protein_coding
ENSG00000131398	19	50311937	50333515	-1	KCNC3	protein_coding
ENSG00000111775	12	120438090	120440742	1	COX6A1	protein_coding
ENSG00000275237	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	54789912	54800893	1	KIR2DL4	protein_coding
ENSG00000090615	12	132768909	132828858	-1	GOLGA3	protein_coding
ENSG00000161609	19	49388218	49417994	1	CCDC155	protein_coding
ENSG00000158796	1	161120974	161132688	-1	DEDD	protein_coding
ENSG00000143256	1	161100556	161118111	-1	PFDN2	protein_coding
ENSG00000186517	1	161046946	161069970	-1	ARHGAP30	protein_coding
ENSG00000181019	16	69706996	69726951	-1	NQO1	protein_coding
ENSG00000116641	1	62454298	62688368	-1	DOCK7	protein_coding
ENSG00000179456	1	244048939	244057476	1	ZBTB18	protein_coding
ENSG00000105409	19	41966582	41997497	-1	ATP1A3	protein_coding
ENSG00000117020	1	243488233	243851079	-1	AKT3	protein_coding
ENSG00000162738	1	160400586	160428678	1	VANGL2	protein_coding
ENSG00000171786	1	160367067	160372848	1	NHLH1	protein_coding
ENSG00000072110	14	68874143	68979440	-1	ACTN1	protein_coding
ENSG00000110888	12	30709552	30754951	-1	CAPRIN2	protein_coding
ENSG00000113141	5	140647058	140662479	1	IK	protein_coding
ENSG00000137504	11	85659708	85682908	-1	CREBZF	protein_coding
ENSG00000204657	6	29585121	29590500	1	OR2H2	protein_coding
ENSG00000113282	5	157785743	157859175	-1	CLINT1	protein_coding
ENSG00000110244	11	116820700	116823306	-1	APOA4	protein_coding
ENSG00000105369	19	41877120	41881372	1	CD79A	protein_coding
ENSG00000086730	7	74199652	74229834	1	LAT2	protein_coding
ENSG00000088992	12	117038923	117099479	-1	TESC	protein_coding
ENSG00000164597	7	107201555	107564514	-1	COG5	protein_coding
ENSG00000105063	19	55229780	55258995	-1	PPP6R1	protein_coding
ENSG00000103175	16	84294646	84329851	1	WFDC1	protein_coding
ENSG00000078295	5	7396208	7830081	1	ADCY2	protein_coding
ENSG00000157456	15	59105078	59125045	1	CCNB2	protein_coding
ENSG00000176124	13	50082171	50723236	1	DLEU1	processed_transcript
ENSG00000119242	12	123918660	123972831	-1	CCDC92	protein_coding
ENSG00000085224	X	77504878	77786233	-1	ATRX	protein_coding
ENSG00000143457	1	150646225	150697144	-1	GOLPH3L	protein_coding
ENSG00000106355	7	32485332	32495283	-1	LSM5	protein_coding
ENSG00000137776	15	58879045	58933653	-1	SLTM	protein_coding
ENSG00000000457	1	169849631	169894267	-1	SCYL3	protein_coding
ENSG00000198755	6	35468408	35470785	1	RPL10A	protein_coding
ENSG00000136059	3	37988059	38007188	1	VILL	protein_coding
ENSG00000165970	11	20599400	20659285	1	SLC6A5	protein_coding
ENSG00000177426	18	3411608	3459978	1	TGIF1	protein_coding
ENSG00000172269	11	119096503	119108331	-1	DPAGT1	protein_coding
ENSG00000132972	13	24764152	24879921	1	RNF17	protein_coding
ENSG00000126457	19	49675786	49689029	1	PRMT1	protein_coding
ENSG00000115221	2	160099666	160200313	-1	ITGB6	protein_coding
ENSG00000172732	11	65857126	65867653	1	MUS81	protein_coding
ENSG00000184588	1	65792514	66374579	1	PDE4B	protein_coding
ENSG00000101384	20	10637684	10673999	-1	JAG1	protein_coding
ENSG00000181982	4	24806117	24980204	-1	CCDC149	protein_coding
ENSG00000159496	22	23688136	23699176	1	RGL4	protein_coding
ENSG00000078114	10	20779973	21174187	-1	NEBL	protein_coding
ENSG00000186583	8	144012414	144047085	1	SPATC1	protein_coding
ENSG00000091527	3	133573730	133590261	1	CDV3	protein_coding
ENSG00000126001	20	35455164	35519280	1	CEP250	protein_coding
ENSG00000095319	9	128947699	129007096	1	NUP188	protein_coding
ENSG00000118096	11	118544528	118572970	-1	IFT46	protein_coding
ENSG00000134248	1	110401249	110407942	-1	LAMTOR5	protein_coding
ENSG00000146834	7	100428790	100434126	1	MEPCE	protein_coding
ENSG00000276907	CHR_HSCHR17_2_CTG5	45393902	45434423	-1	ARHGAP27	protein_coding
ENSG00000197586	20	25195693	25226729	1	ENTPD6	protein_coding
ENSG00000196090	20	42072752	43189970	-1	PTPRT	protein_coding
ENSG00000198742	7	99027438	99144100	-1	SMURF1	protein_coding
ENSG00000184502	17	41712326	41715969	1	GAST	protein_coding
ENSG00000118702	20	37251082	37261835	-1	GHRH	protein_coding
ENSG00000134440	18	57600656	57622213	-1	NARS	protein_coding
ENSG00000159714	16	67394152	67416833	-1	ZDHHC1	protein_coding
ENSG00000146802	7	112762382	112790592	-1	TMEM168	protein_coding
ENSG00000137313	CHR_HSCHR6_MHC_QBL_CTG1	30173958	30202936	-1	TRIM26	protein_coding
ENSG00000175662	17	17843511	17972422	-1	TOM1L2	protein_coding
ENSG00000173812	17	41688885	41692668	1	EIF1	protein_coding
ENSG00000148459	10	26697659	26746798	1	PDSS1	protein_coding
ENSG00000164398	5	131949973	132012243	-1	ACSL6	protein_coding
ENSG00000102104	X	18639910	18672109	-1	RS1	protein_coding
ENSG00000235905	CHR_HSCHR6_MHC_MCF_CTG1	30241686	30251176	1	TRIM15	protein_coding
ENSG00000104938	19	7763149	7769605	1	CLEC4M	protein_coding
ENSG00000165186	X	23334016	23404372	1	PTCHD1	protein_coding
ENSG00000198851	11	118304545	118316175	1	CD3E	protein_coding
ENSG00000142507	17	4796144	4798503	1	PSMB6	protein_coding
ENSG00000183024	17	3126584	3127581	-1	OR1G1	protein_coding
ENSG00000164604	7	113078331	113087778	-1	GPR85	protein_coding
ENSG00000131941	19	32978593	33064888	-1	RHPN2	protein_coding
ENSG00000125652	19	6372433	6375251	1	ALKBH7	protein_coding
ENSG00000163312	4	83407343	83455856	-1	HELQ	protein_coding
ENSG00000136244	7	22725884	22732002	1	IL6	protein_coding
ENSG00000148908	10	119499828	119542708	-1	RGS10	protein_coding
ENSG00000176148	11	33039417	33105943	1	TCP11L1	protein_coding
ENSG00000133275	19	1941149	1981338	1	CSNK1G2	protein_coding
ENSG00000217128	5	131641714	131797063	-1	FNIP1	protein_coding
ENSG00000011426	7	36389806	36453791	1	ANLN	protein_coding
ENSG00000250571	8	143267433	143276931	1	GLI4	protein_coding
ENSG00000121989	2	147844517	147930826	1	ACVR2A	protein_coding
ENSG00000230797	X	21855987	21858727	1	YY2	protein_coding
ENSG00000137193	6	37170203	37175426	1	PIM1	protein_coding
ENSG00000072310	17	17810399	17837002	-1	SREBF1	protein_coding
ENSG00000127837	2	218264123	218270257	-1	AAMP	protein_coding
ENSG00000136504	17	49788555	49835030	1	KAT7	protein_coding
ENSG00000165526	11	126202094	126211692	-1	RPUSD4	protein_coding
ENSG00000167716	17	1716523	1738599	1	WDR81	protein_coding
ENSG00000221974	CHR_HSCHR6_MHC_QBL_CTG1	30897757	30903679	1	GTF2H4	protein_coding
ENSG00000198862	21	28928144	28992956	-1	LTN1	protein_coding
ENSG00000160695	11	119067692	119081978	1	VPS11	protein_coding
ENSG00000107984	10	52314296	52318042	1	DKK1	protein_coding
ENSG00000262334	CHR_HSCHR17_1_CTG1	217541	419308	-1	RPH3AL	protein_coding
ENSG00000153107	2	111611639	111884690	-1	ANAPC1	protein_coding
ENSG00000185532	10	50990891	52298350	1	PRKG1	protein_coding
ENSG00000175352	11	8980576	9004049	-1	NRIP3	protein_coding
ENSG00000197170	17	67337916	67366627	-1	PSMD12	protein_coding
ENSG00000107854	10	91798312	91865276	1	TNKS2	protein_coding
ENSG00000280563	CHR_HSCHR17_2_CTG2	978299	979770	-1	NXN	protein_coding
ENSG00000237289	15	43593054	43604901	1	CKMT1B	protein_coding
ENSG00000275990	CHR_HSCHR22_1_CTG5	36860995	36880544	1	NCF4	protein_coding
ENSG00000133110	13	37562583	37598844	-1	POSTN	protein_coding
ENSG00000105186	19	32597007	32676597	-1	ANKRD27	protein_coding
ENSG00000106459	7	129611714	129757082	1	NRF1	protein_coding
ENSG00000104413	8	94641074	94707466	1	ESRP1	protein_coding
ENSG00000184164	22	49918167	49927540	1	CRELD2	protein_coding
ENSG00000244752	22	25219522	25231869	1	CRYBB2	protein_coding
ENSG00000171847	12	8221260	8227618	-1	FAM90A1	protein_coding
ENSG00000262512	CHR_HSCHR17_5_CTG4	41249619	41250585	1	KRTAP9-4	protein_coding
ENSG00000155962	X	155276211	155334657	-1	CLIC2	protein_coding
ENSG00000168040	11	70203163	70207390	1	FADD	protein_coding
ENSG00000250254	4	37960435	37961125	1	PTTG2	protein_coding
ENSG00000114480	3	81489699	81762161	-1	GBE1	protein_coding
ENSG00000121270	16	48166910	48247568	-1	ABCC11	protein_coding
ENSG00000136874	9	99906633	99970341	1	STX17	protein_coding
ENSG00000117118	1	17018722	17054170	-1	SDHB	protein_coding
ENSG00000196470	16	48356364	48448402	-1	SIAH1	protein_coding
ENSG00000005020	7	26667062	26995239	-1	SKAP2	protein_coding
ENSG00000140443	15	98648539	98964530	1	IGF1R	protein_coding
ENSG00000180871	2	218125289	218137253	1	CXCR2	protein_coding
ENSG00000163902	3	128619970	128681075	-1	RPN1	protein_coding
ENSG00000128833	15	52192322	52295798	-1	MYO5C	protein_coding
ENSG00000113569	5	37288137	37371181	-1	NUP155	protein_coding
ENSG00000228913	CHR_HSCHR6_MHC_COX_CTG1	29552212	29556525	-1	UBD	protein_coding
ENSG00000125089	4	8182072	8241803	1	SH3TC1	protein_coding
ENSG00000102910	16	48244296	48363122	1	LONP2	protein_coding
ENSG00000126709	1	27666061	27672218	-1	IFI6	protein_coding
ENSG00000116288	1	7954291	7985505	1	PARK7	protein_coding
ENSG00000169860	3	152834693	152841439	1	P2RY1	protein_coding
ENSG00000186281	2	96021946	96039451	-1	GPAT2	protein_coding
ENSG00000151461	10	11920022	12043170	-1	UPF2	protein_coding
ENSG00000131264	X	73447254	73455245	1	CDX4	protein_coding
ENSG00000231543	CHR_HSCHR6_MHC_DBB_CTG1	31879966	31927861	1	C2	protein_coding
ENSG00000185231	18	13882044	13915707	-1	MC2R	protein_coding
ENSG00000183605	10	119140767	119165667	-1	SFXN4	protein_coding
ENSG00000234852	CHR_HSCHR6_MHC_DBB_CTG1	31881788	31884173	-1	ZBTB12	protein_coding
ENSG00000119446	9	122237624	122264839	-1	RBM18	protein_coding
ENSG00000231825	CHR_HSCHR6_MHC_SSTO_CTG1	31611467	31628517	1	PRRC2A	protein_coding
ENSG00000129116	4	168497066	168928457	1	PALLD	protein_coding
ENSG00000108733	17	35574795	35578863	-1	PEX12	protein_coding
ENSG00000270765	17	35744511	35752878	-1	GAS2L2	protein_coding
ENSG00000151617	4	147480917	147544954	1	EDNRA	protein_coding
ENSG00000099992	22	30291990	30327046	-1	TBC1D10A	protein_coding
ENSG00000168092	11	117144267	117176894	1	PAFAH1B2	protein_coding
ENSG00000198265	17	67070438	67245989	-1	HELZ	protein_coding
ENSG00000196338	X	71144831	71171201	1	NLGN3	protein_coding
ENSG00000274000	CHR_HSCHR19LRC_COX1_CTG3_1	54504943	54519583	1	LILRA2	protein_coding
ENSG00000276045	12	121626550	121642677	1	ORAI1	protein_coding
ENSG00000131149	16	85169525	85676204	1	GSE1	protein_coding
ENSG00000163463	1	155169408	155173475	-1	KRTCAP2	protein_coding
ENSG00000184908	1	16043736	16057308	1	CLCNKB	protein_coding
ENSG00000161618	19	49453169	49471048	1	ALDH16A1	protein_coding
ENSG00000230332	CHR_HSCHR6_MHC_MCF_CTG1	30148763	30154384	-1	RNF39	protein_coding
ENSG00000112893	5	109689366	109869625	1	MAN2A1	protein_coding
ENSG00000160688	1	154983338	154993111	1	FLAD1	protein_coding
ENSG00000153207	1	246839098	246931967	-1	AHCTF1	protein_coding
ENSG00000073756	1	186671791	186680427	-1	PTGS2	protein_coding
ENSG00000065526	1	15847864	15940460	1	SPEN	protein_coding
ENSG00000198055	5	177403204	177442901	1	GRK6	protein_coding
ENSG00000135837	1	179954738	180114880	1	CEP350	protein_coding
ENSG00000110243	11	116789367	116792420	-1	APOA5	protein_coding
ENSG00000275732	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54847612	54858688	1	KIR2DL4	protein_coding
ENSG00000090061	14	99481169	99535044	1	CCNK	protein_coding
ENSG00000076513	12	109999186	110039763	1	ANKRD13A	protein_coding
ENSG00000182185	14	67819779	68730218	1	RAD51B	protein_coding
ENSG00000129562	14	22564905	22589269	-1	DAD1	protein_coding
ENSG00000197694	9	128552558	128633662	1	SPTAN1	protein_coding
ENSG00000118762	4	88007668	88077777	1	PKD2	protein_coding
ENSG00000110711	11	67483041	67491103	1	AIP	protein_coding
ENSG00000168066	11	64764606	64778786	-1	SF1	protein_coding
ENSG00000116745	1	68428822	68449959	-1	RPE65	protein_coding
ENSG00000204920	19	43967862	43998325	1	ZNF155	protein_coding
ENSG00000162694	1	100872372	100895998	-1	EXTL2	protein_coding
ENSG00000079387	12	48042898	48106308	-1	SENP1	protein_coding
ENSG00000161860	19	12898786	12919276	-1	SYCE2	protein_coding
ENSG00000117593	1	173824568	173858808	1	DARS2	protein_coding
ENSG00000169136	19	49928702	49933935	1	ATF5	protein_coding
ENSG00000117560	1	172659018	172666874	1	FASLG	protein_coding
ENSG00000140488	15	72284727	72320129	-1	CELF6	protein_coding
ENSG00000090539	3	184380073	184390736	1	CHRD	protein_coding
ENSG00000152583	4	87473335	87531061	-1	SPARCL1	protein_coding
ENSG00000115806	2	170928464	170967129	1	GORASP2	protein_coding
ENSG00000169727	17	82050691	82057470	1	GPS1	protein_coding
ENSG00000203690	6	167357031	167384510	-1	TCP10	protein_coding
ENSG00000156299	21	31118416	31559977	-1	TIAM1	protein_coding
ENSG00000160856	1	157674321	157700857	-1	FCRL3	protein_coding
ENSG00000134594	X	130171649	130184870	1	RAB33A	protein_coding
ENSG00000071073	2	98619106	98731126	-1	MGAT4A	protein_coding
ENSG00000198466	19	57849857	57865112	1	ZNF587	protein_coding
ENSG00000278682	CHR_HSCHR19LRC_PGF2_CTG3_1	54703078	54738934	1	NLRP2	protein_coding
ENSG00000277179	CHR_HSCHR19LRC_LRC_I_CTG3_1	54929128	54953124	-1	NLRP7	protein_coding
ENSG00000283965	CHR_HG1832_PATCH	210680180	211137537	-1	KCNH1	protein_coding
ENSG00000277943	CHR_HSCHR17_10_CTG4	36103827	36105621	1	CCL4	protein_coding
ENSG00000274734	CHR_HSCHR15_4_CTG8	30776860	30837039	1	ARHGAP11B	protein_coding
ENSG00000275637	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54906192	54910107	1	NCR1	protein_coding
ENSG00000185499	1	155185824	155192916	-1	MUC1	protein_coding
ENSG00000197728	12	56041351	56044697	1	RPS26	protein_coding
ENSG00000187140	1	63323041	63325126	1	FOXD3	protein_coding
ENSG00000185519	1	16057769	16073632	-1	FAM131C	protein_coding
ENSG00000164209	5	110738136	110765161	1	SLC25A46	protein_coding
ENSG00000091137	7	107660635	107717809	1	SLC26A4	protein_coding
ENSG00000164031	4	99896248	99946726	-1	DNAJB14	protein_coding
ENSG00000237403	CHR_HSCHR6_MHC_MCF_CTG1	30145206	30148830	1	PPP1R11	protein_coding
ENSG00000164299	5	80319625	80321842	1	SPZ1	protein_coding
ENSG00000197442	6	136557047	136792518	-1	MAP3K5	protein_coding
ENSG00000196418	1	247121975	247172016	-1	ZNF124	protein_coding
ENSG00000106123	7	142855061	142871094	1	EPHB6	protein_coding
ENSG00000247077	12	132710819	132722734	1	PGAM5	protein_coding
ENSG00000157064	1	183248237	183418602	-1	NMNAT2	protein_coding
ENSG00000174233	12	48766194	48789037	-1	ADCY6	protein_coding
ENSG00000100239	22	50343304	50445090	1	PPP6R2	protein_coding
ENSG00000135829	1	182839369	182887751	1	DHX9	protein_coding
ENSG00000129315	12	48688458	48716998	-1	CCNT1	protein_coding
ENSG00000204394	6	31777518	31795953	-1	VARS	protein_coding
ENSG00000131183	5	177379235	177398848	1	SLC34A1	protein_coding
ENSG00000114942	2	206159585	206162928	1	EEF1B2	protein_coding
ENSG00000198597	19	30228290	30713538	1	ZNF536	protein_coding
ENSG00000152137	12	119178642	119221131	1	HSPB8	protein_coding
ENSG00000132768	1	43970000	43973369	1	DPH2	protein_coding
ENSG00000160712	1	154405193	154469450	1	IL6R	protein_coding
ENSG00000111445	12	118013588	118033130	1	RFC5	protein_coding
ENSG00000169067	5	57480016	57482809	-1	ACTBL2	protein_coding
ENSG00000132681	1	160151570	160186977	1	ATP1A4	protein_coding
ENSG00000184486	6	98834592	98839470	1	POU3F2	protein_coding
ENSG00000281861	CHR_HSCHR5_5_CTG1	524112	524332	-1	SLC9A3	protein_coding
ENSG00000170956	19	41796437	41811553	1	CEACAM3	protein_coding
ENSG00000184988	17	43211835	43220041	1	TMEM106A	protein_coding
ENSG00000168243	1	235547687	235650754	-1	GNG4	protein_coding
ENSG00000007306	19	41673307	41706976	-1	CEACAM7	protein_coding
ENSG00000185946	1	103525691	103555239	1	RNPC3	protein_coding
ENSG00000275970	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54873427	54889651	1	FCAR	protein_coding
ENSG00000072364	5	132875379	132963634	-1	AFF4	protein_coding
ENSG00000132703	1	159587825	159588865	1	APCS	protein_coding
ENSG00000135517	12	56449502	56469166	-1	MIP	protein_coding
ENSG00000163565	1	158999968	159055155	1	IFI16	protein_coding
ENSG00000131771	17	39626740	39636626	1	PPP1R1B	protein_coding
ENSG00000120333	1	175010789	175023425	-1	MRPS14	protein_coding
ENSG00000110944	12	56334174	56340410	1	IL23A	protein_coding
ENSG00000187325	X	78129748	78139706	-1	TAF9B	protein_coding
ENSG00000162695	1	100896076	100981753	1	SLC30A7	protein_coding
ENSG00000102753	13	49699307	49792921	-1	KPNA3	protein_coding
ENSG00000164404	5	132861181	132866884	-1	GDF9	protein_coding
ENSG00000196642	9	136807943	136841187	1	RABL6	protein_coding
ENSG00000225635	CHR_HSCHR6_MHC_MCF_CTG1	31803320	31806899	-1	DDAH2	protein_coding
ENSG00000137656	11	116748170	116772988	-1	BUD13	protein_coding
ENSG00000104951	19	49889654	49929539	-1	IL4I1	protein_coding
ENSG00000140990	16	1959508	1961975	1	NDUFB10	protein_coding
ENSG00000105778	7	32495426	32588721	1	AVL9	protein_coding
ENSG00000165283	9	35099776	35103195	-1	STOML2	protein_coding
ENSG00000124459	19	43912629	43935278	-1	ZNF45	protein_coding
ENSG00000243147	2	27771717	27988087	1	MRPL33	protein_coding
ENSG00000162692	1	100719742	100739045	1	VCAM1	protein_coding
ENSG00000103549	16	30761745	30776307	1	RNF40	protein_coding
ENSG00000196150	8	144876497	144902168	-1	ZNF250	protein_coding
ENSG00000135801	1	229593111	229626047	-1	TAF5L	protein_coding
ENSG00000010932	1	171248471	171285978	1	FMO1	protein_coding
ENSG00000116337	1	109616104	109632051	1	AMPD2	protein_coding
ENSG00000240592	CHR_HSCHR6_MHC_MCF_CTG1	32241011	32244709	1	EGFL8	protein_coding
ENSG00000175544	11	67452406	67460313	1	CABP4	protein_coding
ENSG00000181218	1	228456979	228457873	-1	HIST3H2A	protein_coding
ENSG00000154358	1	228208130	228378874	1	OBSCN	protein_coding
ENSG00000162595	1	68045896	68051631	-1	DIRAS3	protein_coding
ENSG00000117475	1	169367970	169396540	1	BLZF1	protein_coding
ENSG00000143319	1	156721891	156728799	-1	ISG20L2	protein_coding
ENSG00000156282	21	30165564	30166756	-1	CLDN17	protein_coding
ENSG00000160679	1	153633982	153646306	1	CHTOP	protein_coding
ENSG00000070423	19	647526	663277	-1	RNF126	protein_coding
ENSG00000257727	12	56309842	56316336	-1	CNPY2	protein_coding
ENSG00000177238	16	31214021	31231537	1	TRIM72	protein_coding
ENSG00000120694	13	31134974	31162388	-1	HSPH1	protein_coding
ENSG00000182512	14	95533503	95544724	1	GLRX5	protein_coding
ENSG00000196154	1	153543613	153550136	-1	S100A4	protein_coding
ENSG00000188130	22	50245450	50261825	-1	MAPK12	protein_coding
ENSG00000179981	18	75210755	75289950	1	TSHZ1	protein_coding
ENSG00000206302	CHR_HSCHR6_MHC_QBL_CTG1	32587742	32595353	-1	HLA-DQB1	protein_coding
ENSG00000033800	15	68054179	68198603	1	PIAS1	protein_coding
ENSG00000231852	6	32038265	32041670	1	CYP21A2	protein_coding
ENSG00000243667	2	68122936	68157560	-1	WDR92	protein_coding
ENSG00000135900	2	223957404	223967714	1	MRPL44	protein_coding
ENSG00000128285	22	40678750	40682814	1	MCHR1	protein_coding
ENSG00000197223	2	68041130	68110948	-1	C1D	protein_coding
ENSG00000157593	6	44254096	44257890	-1	SLC35B2	protein_coding
ENSG00000085449	2	223855716	223945387	-1	WDFY1	protein_coding
ENSG00000206427	CHR_HSCHR6_MHC_QBL_CTG1	31610949	31627996	1	PRRC2A	protein_coding
ENSG00000111670	12	101745497	101830938	-1	GNPTAB	protein_coding
ENSG00000111961	6	148272304	148552050	1	SASH1	protein_coding
ENSG00000147862	9	14081843	14398983	-1	NFIB	protein_coding
ENSG00000147251	X	118495898	118686163	1	DOCK11	protein_coding
ENSG00000108651	17	31860899	31901765	-1	UTP6	protein_coding
ENSG00000163071	4	52051331	52097292	1	SPATA18	protein_coding
ENSG00000179344	6	32659467	32668383	-1	HLA-DQB1	protein_coding
ENSG00000273611	17	36486629	36499310	1	ZNHIT3	protein_coding
ENSG00000187049	11	61391687	61398863	1	TMEM216	protein_coding
ENSG00000173077	9	114850968	115402644	1	DEC1	protein_coding
ENSG00000112706	6	75921115	76072678	-1	IMPG1	protein_coding
ENSG00000166747	16	71729000	71809201	-1	AP1G1	protein_coding
ENSG00000196549	3	155024124	155183729	1	MME	protein_coding
ENSG00000087088	19	48954815	48961798	1	BAX	protein_coding
ENSG00000115286	19	1383527	1395589	1	NDUFS7	protein_coding
ENSG00000151116	11	18529609	18588747	-1	UEVLD	protein_coding
ENSG00000167969	16	2239395	2252300	-1	ECI1	protein_coding
ENSG00000177119	12	45215987	45440404	1	ANO6	protein_coding
ENSG00000072818	17	7336529	7351478	1	ACAP1	protein_coding
ENSG00000132911	5	152391532	152433368	-1	NMUR2	protein_coding
ENSG00000136270	7	45100100	45112047	-1	TBRG4	protein_coding
ENSG00000123094	12	25959029	26079892	1	RASSF8	protein_coding
ENSG00000166484	17	19377721	19383544	1	MAPK7	protein_coding
